date,value
2016-05-09,1201
2016-05-10,2329
2016-05-11,1716
2016-05-12,10539
2016-05-13,6933
2016-05-14,3127
2016-05-15,2927
2016-05-16,2591
2016-05-17,3403
2016-05-18,5410
2016-05-19,19736
2016-05-20,17491
2016-05-21,13370
2016-05-22,13158
2016-05-23,13887
2016-05-24,15336
2016-05-25,14779
2016-05-26,18060
2016-05-27,19997
2016-05-28,19044
2016-05-29,20325
2016-05-30,16607
2016-05-31,16616
2016-06-01,13007
2016-06-02,10329
2016-06-03,10155
2016-06-04,7431
2016-06-05,16031
2016-06-06,16621
2016-06-07,18335
2016-06-08,18072
2016-06-09,18139
2016-06-10,17087
2016-06-11,16098
2016-06-12,16147
2016-06-13,17570
2016-06-14,19395
2016-06-15,18584
2016-06-16,17628
2016-06-17,21691
2016-06-18,21681
2016-06-19,19204
2016-06-20,28508
2016-06-21,26805
2016-06-22,21424
2016-06-23,19820
2016-06-24,19230
2016-06-25,21923
2016-06-26,22685
2016-06-27,24278
2016-06-28,21423
2016-06-29,27734
2016-06-30,26696
2016-07-01,28372
2016-07-02,26393
2016-07-03,27011
2016-07-04,24236
2016-07-05,23843
2016-07-06,24374
2016-07-07,28507
2016-07-08,31184
2016-07-09,27404
2016-07-10,26079
2016-07-11,20339
2016-07-12,21510
2016-07-13,20391
2016-07-14,23278
2016-07-15,22815
2016-07-16,20261
2016-07-17,20331
2016-07-18,19703
2016-07-19,15445
2016-07-20,22046
2016-07-21,27290
2016-07-22,28662
2016-07-23,25053
2016-07-24,19733
2016-07-25,25646
2016-07-26,19637
2016-07-27,23587
2016-07-28,25719
2016-07-29,21667
2016-07-30,16002
2016-07-31,16223
2016-08-01,20947
2016-08-02,20345
2016-08-03,24118
2016-08-04,24951
2016-08-05,27880
2016-08-06,20900
2016-08-07,23536
2016-08-08,24471
2016-08-09,24828
2016-08-10,31583
2016-08-11,30393
2016-08-12,29488
2016-08-13,26206
2016-08-14,29686
2016-08-15,32229
